acc_a	acc_b	wgs_dist	brad_dist	s16_dist
GCA_001457635	GCA_001896045	0.24404	0.29717	0.03885
GCA_001457635	GCA_002843545	0.25359	0.25628	0.02461
GCA_001457635	GCA_002947575	0.26765	0.27692	0.02866
GCA_001457635	GCA_003351705	0.25844	0.25435	0.01456
GCA_001457635	GCA_003966525	0.25070	0.25462	0.02461
GCA_001457635	GCA_013047165	0.25102	0.25268	0.02866
GCA_001457635	GCA_015839035	0.27232	0.26408	0.05363
GCA_001457635	GCA_021398235	0.28491	0.28055	0.04296
GCA_001457635	GCA_021398265	0.28526	0.27500	0.04296
GCA_001457635	GCA_021398285	0.28526	0.27500	0.04296
GCA_001457635	GCA_022068265	0.25423	0.24126	0.05330
GCA_001457635	GCA_022070005	0.24625	0.27444	0.02866
GCA_001457635	GCA_022070425	0.26798	0.27901	0.03885
GCA_001457635	GCA_022558605	0.26665	0.26529	0.04296
GCA_001457635	GCA_026625945	0.27603	0.25193	0.02866
GCA_001457635	GCA_026625965	0.27569	0.24359	0.02866
GCA_001457635	GCA_030127445	0.27942	0.25727	0.01456
GCA_001457635	GCA_033096065	0.26138	0.28380	0.02866
GCA_001457635	GCA_033096145	0.25844	0.26173	0.04296
GCA_001457635	GCA_033096165	0.22165	0.22052	0.02461
GCA_001457635	GCA_033096185	0.21102	0.21333	0.01456
GCA_001457635	GCA_033096225	0.26040	0.25146	0.03885
GCA_001457635	GCA_033096265	0.27501	0.27233	0.03885
GCA_001457635	GCA_033145555	0.28045	0.29296	0.01456
GCA_001457635	GCA_033146375	0.25975	0.26383	0.02461
GCA_001457635	GCA_033149375	0.25327	0.26153	0.04296
GCA_001457635	GCA_033165855	0.27031	0.24849	0.00000
GCA_001457635	GCA_036322955	0.28216	0.31140	0.03885
GCA_001457635	GCA_036322975	0.28147	0.31140	0.03885
GCA_001457635	GCA_036509575	0.26467	0.25986	0.02461
GCA_001457635	GCA_038431575	0.26698	0.27405	0.02934
GCA_001457635	GCA_038431755	0.26335	0.27180	0.02934
GCA_001457635	GCA_040687865	0.26105	0.27127	0.02866
GCA_001457635	GCA_040687875	0.25166	0.26300	0.05330
GCA_001457635	GCA_040687885	0.24404	0.23744	0.02866
GCA_001457635	GCA_040687895	0.25134	0.26300	0.05330
GCA_001457635	GCA_041729265	0.25650	0.24757	0.05330
GCA_001457635	GCA_052566715	0.25102	0.25690	0.02461
GCA_001457635	GCA_052566725	0.25102	0.25690	0.02461
GCA_001457635	GCA_055381415	0.25650	0.25690	0.05330
GCA_001457635	GCA_055381835	0.25714	0.25523	0.05330
GCA_001457635	GCA_055382695	0.27535	0.27405	0.03885
GCA_001457635	GCA_057914855	0.26138	0.28698	0.05330
GCA_001457635	GCA_058308675	0.25327	0.25690	0.02494
GCA_001457635	GCA_900476475	0.23377	0.22638	0.02866
GCA_001457635	GCA_900476505	0.27333	0.26173	0.05919
GCA_001457635	GCA_900618545	0.06636	0.07632	0.01389
GCA_001457635	GCA_900693025	0.28977	0.27258	0.01456
GCA_001457635	GCA_963281185	0.24593	0.28104	0.03885
GCA_001896045	GCA_002843545	0.27165	0.32748	0.01389
GCA_001896045	GCA_002947575	0.27434	0.29796	0.04227
GCA_001896045	GCA_003351705	0.26368	0.30893	0.02798
GCA_001896045	GCA_003966525	0.26171	0.33997	0.01389
GCA_001896045	GCA_013047165	0.25844	0.30435	0.01389
GCA_001896045	GCA_015839035	0.27977	0.31950	0.01422
GCA_001896045	GCA_021398235	0.23966	0.29645	0.02798
GCA_001896045	GCA_021398265	0.23810	0.28803	0.02798
GCA_001896045	GCA_021398285	0.23810	0.28803	0.02798
GCA_001896045	GCA_022068265	0.26368	0.33771	0.01389
GCA_001896045	GCA_022070005	0.24815	0.31512	0.01389
GCA_001896045	GCA_022070425	0.19753	0.20544	0.00000
GCA_001896045	GCA_022558605	0.26798	0.32511	0.02798
GCA_001896045	GCA_026625945	0.28977	0.33001	0.01389
GCA_001896045	GCA_026625965	0.28942	0.32080	0.01389
GCA_001896045	GCA_030127445	0.25006	0.31508	0.02798
GCA_001896045	GCA_033096065	0.26040	0.33937	0.01389
GCA_001896045	GCA_033096145	0.25263	0.28837	0.02798
GCA_001896045	GCA_033096165	0.22075	0.29283	0.01389
GCA_001896045	GCA_033096185	0.25295	0.32839	0.02798
GCA_001896045	GCA_033096225	0.20609	0.20732	0.00000
GCA_001896045	GCA_033096265	0.18694	0.17637	0.00000
GCA_001896045	GCA_033145555	0.21336	0.22006	0.02798
GCA_001896045	GCA_033146375	0.27065	0.31258	0.01389
GCA_001896045	GCA_033149375	0.26500	0.32127	0.02798
GCA_001896045	GCA_033165855	0.22344	0.28024	0.03885
GCA_001896045	GCA_036322955	0.13725	0.12886	0.00000
GCA_001896045	GCA_036322975	0.13676	0.12886	0.00000
GCA_001896045	GCA_036509575	0.27738	0.34797	0.01389
GCA_001896045	GCA_038431575	0.28422	0.30922	0.05192
GCA_001896045	GCA_038431755	0.28733	0.31015	0.05192
GCA_001896045	GCA_040687865	0.28422	0.30922	0.04227
GCA_001896045	GCA_040687875	0.26566	0.33482	0.01389
GCA_001896045	GCA_040687885	0.26335	0.34762	0.01389
GCA_001896045	GCA_040687895	0.26533	0.33482	0.01389
GCA_001896045	GCA_041729265	0.26105	0.31538	0.01389
GCA_001896045	GCA_052566715	0.26864	0.32828	0.01389
GCA_001896045	GCA_052566725	0.26864	0.32828	0.01389
GCA_001896045	GCA_055381415	0.25552	0.31974	0.01389
GCA_001896045	GCA_055381835	0.25585	0.32077	0.01389
GCA_001896045	GCA_055382695	0.18666	0.17780	0.00000
GCA_001896045	GCA_057914855	0.27199	0.34248	0.01389
GCA_001896045	GCA_058308675	0.26998	0.32828	0.02696
GCA_001896045	GCA_900476475	0.27468	0.29790	0.01389
GCA_001896045	GCA_900476505	0.26698	0.33894	0.07322
GCA_001896045	GCA_900618545	0.25423	0.32080	0.05330
GCA_001896045	GCA_900693025	0.26138	0.31542	0.02798
GCA_001896045	GCA_963281185	0.24530	0.31897	0.00000
GCA_002843545	GCA_002947575	0.26105	0.26073	0.02798
GCA_002843545	GCA_003351705	0.25327	0.24939	0.01389
GCA_002843545	GCA_003966525	0.06435	0.08692	0.00000
GCA_002843545	GCA_013047165	0.22888	0.22159	0.02798
GCA_002843545	GCA_015839035	0.26467	0.29749	0.02831
GCA_002843545	GCA_021398235	0.28733	0.28593	0.04227
GCA_002843545	GCA_021398265	0.29292	0.29429	0.04227
GCA_002843545	GCA_021398285	0.29292	0.29429	0.04227
GCA_002843545	GCA_022068265	0.23531	0.25783	0.02798
GCA_002843545	GCA_022070005	0.25327	0.25825	0.02798
GCA_002843545	GCA_022070425	0.24975	0.27886	0.01389
GCA_002843545	GCA_022558605	0.25070	0.25747	0.04227
GCA_002843545	GCA_026625945	0.28457	0.29645	0.02798
GCA_002843545	GCA_026625965	0.28422	0.28768	0.02798
GCA_002843545	GCA_030127445	0.30322	0.31585	0.01389
GCA_002843545	GCA_033096065	0.23470	0.24041	0.02798
GCA_002843545	GCA_033096145	0.26998	0.25396	0.04227
GCA_002843545	GCA_033096165	0.26335	0.29630	0.00000
GCA_002843545	GCA_033096185	0.25006	0.26094	0.01389
GCA_002843545	GCA_033096225	0.27840	0.27879	0.01389
GCA_002843545	GCA_033096265	0.27400	0.31100	0.01389
GCA_002843545	GCA_033145555	0.27031	0.31203	0.01389
GCA_002843545	GCA_033146375	0.25327	0.25337	0.00000
GCA_002843545	GCA_033149375	0.24657	0.24330	0.04227
GCA_002843545	GCA_033165855	0.27031	0.28361	0.02461
GCA_002843545	GCA_036322955	0.27840	0.33606	0.01389
GCA_002843545	GCA_036322975	0.27840	0.33606	0.01389
GCA_002843545	GCA_036509575	0.07909	0.09429	0.00000
GCA_002843545	GCA_038431575	0.25295	0.24719	0.03749
GCA_002843545	GCA_038431755	0.25295	0.25281	0.03749
GCA_002843545	GCA_040687865	0.25166	0.25250	0.02798
GCA_002843545	GCA_040687875	0.25877	0.27672	0.02798
GCA_002843545	GCA_040687885	0.25650	0.26463	0.02798
GCA_002843545	GCA_040687895	0.25877	0.27672	0.02798
GCA_002843545	GCA_041729265	0.25844	0.26401	0.02798
GCA_002843545	GCA_052566715	0.00352	0.00413	0.00000
GCA_002843545	GCA_052566725	0.00352	0.00413	0.00000
GCA_002843545	GCA_055381415	0.25070	0.25456	0.02798
GCA_002843545	GCA_055381835	0.24911	0.25293	0.02798
GCA_002843545	GCA_055382695	0.27333	0.31279	0.01389
GCA_002843545	GCA_057914855	0.26335	0.28390	0.02798
GCA_002843545	GCA_058308675	0.00538	0.00413	0.01289
GCA_002843545	GCA_900476475	0.22284	0.23002	0.02798
GCA_002843545	GCA_900476505	0.28630	0.27541	0.05849
GCA_002843545	GCA_900618545	0.26204	0.27938	0.03885
GCA_002843545	GCA_900693025	0.27603	0.26460	0.01389
GCA_002843545	GCA_963281185	0.28216	0.30568	0.01389
GCA_002947575	GCA_003351705	0.27333	0.25619	0.01389
GCA_002947575	GCA_003966525	0.25166	0.26441	0.02798
GCA_002947575	GCA_013047165	0.26138	0.26795	0.02798
GCA_002947575	GCA_015839035	0.17580	0.23625	0.05710
GCA_002947575	GCA_021398235	0.25134	0.27625	0.01389
GCA_002947575	GCA_021398265	0.25909	0.28183	0.01389
GCA_002947575	GCA_021398285	0.25909	0.28183	0.01389
GCA_002947575	GCA_022068265	0.26765	0.26731	0.05677
GCA_002947575	GCA_022070005	0.19866	0.20284	0.02798
GCA_002947575	GCA_022070425	0.26073	0.28294	0.04227
GCA_002947575	GCA_022558605	0.19781	0.22774	0.01389
