species	config	n_truth_strains	completeness	contamination	n_contigs	n_clusters	precision	recall	bray_curtis
Akkermansia_muciniphila	diff_k5	20	1.00	0.00	1	24	1.000	0.920	0.097
Akkermansia_muciniphila	diff_k5	20	0.95	0.01	20	25	1.000	0.920	0.097
Akkermansia_muciniphila	diff_k5	20	0.90	0.02	50	25	1.000	0.920	0.097
Akkermansia_muciniphila	diff_k5	20	0.80	0.05	100	26	0.917	0.880	0.174
Akkermansia_muciniphila	diff_k5	20	0.70	0.08	200	34	0.520	0.520	0.510
Akkermansia_muciniphila	diff_k5	20	0.50	0.10	400	34	0.462	0.480	0.536
Clostridioides_difficile	diff_k5	20	1.00	0.00	1	17	1.000	1.000	0.052
Clostridioides_difficile	diff_k5	20	0.95	0.01	20	22	0.960	0.960	0.104
Clostridioides_difficile	diff_k5	20	0.90	0.02	50	27	0.833	0.800	0.288
Clostridioides_difficile	diff_k5	20	0.80	0.05	100	31	0.484	0.600	0.596
Clostridioides_difficile	diff_k5	20	0.70	0.08	200	31	0.484	0.600	0.575
Clostridioides_difficile	diff_k5	20	0.50	0.10	400	31	0.378	0.560	0.674
Cutibacterium_acnes	diff_k5	17	1.00	0.00	1	6	1.000	0.958	0.059
Cutibacterium_acnes	diff_k5	17	0.95	0.01	20	11	0.857	0.960	0.111
Cutibacterium_acnes	diff_k5	17	0.90	0.02	50	12	0.808	0.840	0.183
Cutibacterium_acnes	diff_k5	17	0.80	0.05	100	12	0.808	0.840	0.170
Cutibacterium_acnes	diff_k5	17	0.70	0.08	200	20	0.556	0.600	0.478
Cutibacterium_acnes	diff_k5	17	0.50	0.10	400	20	0.529	0.720	0.494
Escherichia_coli	diff_k5	17	1.00	0.00	1	14	1.000	1.000	0.120
Escherichia_coli	diff_k5	17	0.95	0.01	20	16	0.905	0.950	0.162
Escherichia_coli	diff_k5	17	0.90	0.02	50	19	0.913	0.913	0.226
Escherichia_coli	diff_k5	17	0.80	0.05	100	20	0.875	0.875	0.244
Escherichia_coli	diff_k5	17	0.70	0.08	200	23	0.833	0.800	0.278
Escherichia_coli	diff_k5	17	0.50	0.10	400	23	0.581	0.720	0.408
