kind	mock	sample	default_TP	default_FP	default_FN	default_precision	default_recall	default_f1	default_aupr	default_precision_at_1e_4	default_recall_at_1e_4	default_f1_at_1e_4	tracegap_TP	tracegap_FP	tracegap_FN	tracegap_precision	tracegap_recall	tracegap_f1	tracegap_aupr	tracegap_precision_at_1e_4	tracegap_recall_at_1e_4	tracegap_f1_at_1e_4
2bRAD	MSA1002	BcgI_MSA1002_0_0.001ng_1	4	2	16	0.6667	0.2	0.3077	0.1292	0.6667	0.2	0.3077	4	2	16	0.6667	0.2	0.3077	0.1292	0.6667	0.2	0.3077
2bRAD	MSA1002	BcgI_MSA1002_0_0.01ng_1	10	2	10	0.8333	0.5	0.625	0.5	0.8333	0.5	0.625	10	2	10	0.8333	0.5	0.625	0.5	0.8333	0.5	0.625
2bRAD	MSA1002	BcgI_MSA1002_0_0.1ng_1	20	2	0	0.9091	1.0	0.9524	1.0	0.9091	1.0	0.9524	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2bRAD	MSA1002	BcgI_MSA1002_0_1ng_1	20	1	0	0.9524	1.0	0.9756	1.0	1.0	1.0	1.0	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2bRAD	MSA1002	BcgI_MSA1002_90_100ng_1	20	1	0	0.9524	1.0	0.9756	1.0	0.9524	1.0	0.9756	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2bRAD	MSA1002	BcgI_MSA1002_95_100ng_1	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2bRAD	MSA1002	BcgI_MSA1002_99_100ng_1	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2bRAD	MSA1002	BcgI_MSA1002_99.9_100ng_1	1	0	19	1.0	0.05	0.0952	0.05	1.0	0.05	0.0952	1	0	19	1.0	0.05	0.0952	0.05	1.0	0.05	0.0952
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_1	13	2	7	0.8667	0.65	0.7429	0.65	0.9286	0.65	0.7647	13	0	7	1.0	0.65	0.7879	0.65	1.0	0.65	0.7879
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_2	13	4	7	0.7647	0.65	0.7027	0.65	0.7647	0.65	0.7027	13	4	7	0.7647	0.65	0.7027	0.65	0.7647	0.65	0.7027
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_3	14	1	6	0.9333	0.7	0.8	0.7	1.0	0.7	0.8235	14	0	6	1.0	0.7	0.8235	0.7	1.0	0.7	0.8235
2bRAD	MSA1005	BcgI_MSA1005_0_100ng_1	6	1	0	0.8571	1.0	0.9231	1.0	1.0	1.0	1.0	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2bRAD	MSA1005	BcgI_MSA1005_0_100ng_2	6	2	0	0.75	1.0	0.8571	1.0	1.0	1.0	1.0	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2bRAD	MSA1005	BcgI_MSA1005_0_100ng_3	6	4	0	0.6	1.0	0.75	1.0	1.0	1.0	1.0	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2bRAD	MSA1007	BcgI_MSA1007_0_100ng_1	6	6	0	0.5	1.0	0.6667	1.0	0.5	1.0	0.6667	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2bRAD	MSA1007	BcgI_MSA1007_0_100ng_2	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2bRAD	MSA1007	BcgI_MSA1007_0_100ng_3	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2bRAD	MSA1002	BcgI_MSA1002_0_0.001ng_1	2	4	18	0.3333	0.1	0.1538	0.1	0.3333	0.1	0.1538	2	4	18	0.3333	0.1	0.1538	0.1	0.3333	0.1	0.1538
2bRAD	MSA1002	BcgI_MSA1002_0_0.01ng_1	3	9	17	0.25	0.15	0.1875	0.072	0.25	0.15	0.1875	3	9	17	0.25	0.15	0.1875	0.072	0.25	0.15	0.1875
2bRAD	MSA1002	BcgI_MSA1002_0_0.1ng_1	6	16	14	0.2727	0.3	0.2857	0.1735	0.2727	0.3	0.2857	5	15	15	0.25	0.25	0.25	0.1592	0.25	0.25	0.25
2bRAD	MSA1002	BcgI_MSA1002_0_1ng_1	6	15	14	0.2857	0.3	0.2927	0.181	0.25	0.25	0.25	5	15	15	0.25	0.25	0.25	0.1667	0.25	0.25	0.25
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_1	4	9	16	0.3077	0.2	0.2424	0.1682	0.3077	0.2	0.2424	4	9	16	0.3077	0.2	0.2424	0.1682	0.3077	0.2	0.2424
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_2	4	9	16	0.3077	0.2	0.2424	0.1667	0.3077	0.2	0.2424	4	9	16	0.3077	0.2	0.2424	0.1667	0.3077	0.2	0.2424
2bRAD	MSA1003	BcgI_MSA1003_0_100ng_3	4	10	16	0.2857	0.2	0.2353	0.1667	0.2857	0.2	0.2353	4	10	16	0.2857	0.2	0.2353	0.1667	0.2857	0.2	0.2353
WMS	MSA1002	WMS_MSA1002_0_100ng_1	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1002	WMS_MSA1002_0_100ng_2	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1002	WMS_MSA1002_90_100ng_1	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1002	WMS_MSA1002_95_100ng_1	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1002	WMS_MSA1002_99_100ng_1	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1003	WMS_MSA1003_0_100ng_1	20	13	0	0.6061	1.0	0.7547	0.9544	0.8333	1.0	0.9091	20	4	0	0.8333	1.0	0.9091	0.9544	0.8333	1.0	0.9091
WMS	MSA1003	WMS_MSA1003_0_100ng_2	20	10	0	0.6667	1.0	0.8	1.0	1.0	1.0	1.0	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1003	WMS_MSA1003_0_100ng_3	20	9	0	0.6897	1.0	0.8163	1.0	1.0	1.0	1.0	20	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1005	WMS_MSA1005_0_100ng_1	6	13	0	0.3158	1.0	0.48	1.0	0.4286	1.0	0.6	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1005	WMS_MSA1005_0_100ng_2	6	12	0	0.3333	1.0	0.5	1.0	0.4615	1.0	0.6316	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1005	WMS_MSA1005_0_100ng_3	6	11	0	0.3529	1.0	0.5217	1.0	0.4286	1.0	0.6	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1007	WMS_MSA1007_0_100ng_1	6	18	0	0.25	1.0	0.4	1.0	0.6	1.0	0.75	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1007	WMS_MSA1007_0_100ng_2	6	21	0	0.2222	1.0	0.3636	1.0	0.5455	1.0	0.7059	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1007	WMS_MSA1007_0_100ng_3	6	15	0	0.2857	1.0	0.4444	1.0	0.5455	1.0	0.7059	6	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
WMS	MSA1002	WMS_MSA1002_0_100ng_1	7	13	13	0.35	0.35	0.35	0.1589	0.35	0.35	0.35	7	13	13	0.35	0.35	0.35	0.1589	0.35	0.35	0.35
WMS	MSA1002	WMS_MSA1002_0_100ng_2	7	13	13	0.35	0.35	0.35	0.1378	0.35	0.35	0.35	7	13	13	0.35	0.35	0.35	0.1378	0.35	0.35	0.35
WMS	MSA1003	WMS_MSA1003_0_100ng_1	7	18	13	0.28	0.35	0.3111	0.144	0.35	0.35	0.35	7	13	13	0.35	0.35	0.35	0.144	0.35	0.35	0.35
